agency,county
CARLIN POLICE DEPT,Elko County
CARSON CITY SHERIFF OFFICE,Carson City
DEPT OF WILDLIFE,
DOUGLAS COUNTY SHERIFFS OFFICE,Douglas County
ELKO POLICE DEPT,Elko County
EUREKA CSO,Eureka County
FALLON POLICE DEPT,Churchill County
LAS VEGAS FIRE & RESCUE BS,Clark County
LAS VEGAS METRO POLICE DEPT,Clark County
LAS VEGAS MUNI COURT MARSHAL,Clark County
LINCOLN COUNTY SHERIFF OFFICE,Lincoln County
LYON COUNTY SHERIFF OFFICE,Lyon County
MESQUITE POLICE DEPT,Clark County
NYE COUNTY SHERIFF OFFICE,Nye County
PERSHING COUNTY SHERIFF OFFICE,Pershing County
RENO POLICE DEPT,Washoe County
SPARKS POLICE DEPT,Washoe County
WASHOE COUNTY SHERIFF DEPT,Washoe County
WHITE PINE COUNTY SHERIFF DEPT,White Pine County
WINNEMUCCA POLICE DEPT,Humboldt County
YERINGTON POLICE DEPT,Lyon County
